wavelength [nm],min loss [dB],max loss [dB]
1525.1662168469184,-47.6691014,-57.1177651
1525.167457224227,-60.1382169,-82.199948
1525.168697603553,-55.4555546,-73.2784254
1525.1699379848967,-52.3765846,-71.5152144
1525.1711783682579,-54.5057498,-73.6275131
1525.1724187536367,-53.8283027,-74.170779
1525.1736591410329,-53.0022489,-63.6762591
1525.1748995304467,-52.7137306,-61.3430168
1525.176139921878,-55.2347392,-60.5572786
1525.1773803153271,-61.7036644,-77.6360205
1525.1786207107937,-52.7763069,-63.0688832
1525.179861108278,-50.0164691,-55.4116878
1525.1811015077794,-53.7324276,-72.9859676
1525.1823419092989,-52.7954111,-70.1108895
1525.1835823128356,-60.7325728,-68.499276
1525.1848227183903,-52.6091207,-92.182706
1525.1860631259622,-47.3470726,-82.5493204
1525.187303535552,-53.7970887,-58.7175456
1525.1885439471594,-51.6349465,-64.6201929
1525.1897843607842,-49.1553584,-65.9865135
1525.1910247764267,-56.4202963,-63.1130562
1525.192265194087,-51.1832501,-68.1970866
1525.1935056137647,-50.6360122,-78.2755435
1525.1947460354602,-54.1172092,-58.0736795
1525.1959864591734,-54.3302061,-57.8676044
1525.197226884904,-53.8867415,-59.8046256
1525.1984673126524,-55.6428394,-70.8759756
1525.1997077424185,-52.2851177,-63.9497092
1525.200948174202,-54.4167687,-58.9321619
1525.2021886080036,-62.5422238,-70.3999967
1525.2034290438226,-48.3482502,-62.6063309
1525.2046694816593,-51.0273849,-64.5198706
1525.2059099215137,-54.4245774,-72.1146022
1525.2071503633858,-50.2006194,-61.8185532
1525.2083908072755,-63.8515831,-69.6419785
1525.209631253183,-64.6246684,-72.3038553
1525.210871701108,-58.9108489,-65.8656871
1525.212112151051,-54.7443011,-77.1110778
1525.2133526030116,-51.9978234,-68.7990819
1525.21459305699,-54.4032529,-65.6122093
1525.215833512986,-56.4306051,-71.400932
1525.2170739709998,-52.7374778,-67.8375704
1525.2183144310313,-56.915972,-61.4647008
1525.2195548930806,-57.8838646,-62.0928246
1525.2207953571476,-55.3699786,-67.1742471
1525.2220358232323,-55.3012009,-61.4609967
1525.2232762913347,-50.6024769,-68.3896146
1525.2245167614549,-52.8745232,-71.6965336
1525.225757233593,-51.874575,-63.2245099
1525.2269977077485,-53.8894031,-66.2998326
1525.2282381839223,-53.6289332,-63.3663144
1525.2294786621135,-50.5640154,-59.2818753
1525.2307191423226,-49.7422298,-70.284159
1525.2319596245493,-52.4686587,-65.8449991
1525.233200108794,-49.6237858,-74.3402224
1525.2344405950564,-57.1396177,-67.3382492
1525.2356810833367,-51.9024516,-64.338071
1525.2369215736346,-49.3965763,-71.3757042
1525.2381620659505,-56.4658602,-65.7062373
1525.2394025602841,-49.0767659,-57.2851124
1525.2406430566357,-47.8652928,-60.7115392
1525.241883555005,-53.9835368,-59.2203247
1525.2431240553922,-52.1267559,-68.211704
1525.244364557797,-58.8019608,-77.5781254
1525.24560506222,-51.6908109,-58.4486717
1525.2468455686605,-55.3070655,-72.551916
1525.248086077119,-51.9593827,-66.2200422
1525.2493265875953,-52.0541252,-74.3173775
1525.2505671000897,-53.8030979,-69.9759845
1525.2518076146016,-57.5701955,-69.2348175
1525.2530481311317,-51.2067816,-62.9308556
1525.2542886496794,-51.273974,-60.2317092
1525.2555291702452,-50.6414697,-63.7929695
1525.2567696928286,-55.0147275,-72.009897
1525.2580102174302,-56.9653166,-67.2458836
1525.2592507440495,-53.7593593,-71.5248961
1525.2604912726867,-51.2188371,-64.0297493
1525.261731803342,-51.6869741,-73.2003087
1525.262972336015,-54.204154,-69.6563336
1525.264212870706,-47.7343011,-61.55154
1525.265453407415,-51.7304684,-70.206035
1525.2666939461417,-52.9486111,-71.4244567
1525.2679344868866,-53.0515566,-59.9213211
1525.269175029649,-55.7036156,-71.5895628
1525.2704155744298,-55.999269,-80.7042175
1525.2716561212283,-50.7452334,-65.8792935
1525.272896670045,-60.1393218,-65.4996676
1525.2741372208793,-53.0722415,-58.689627
1525.2753777737316,-50.6303864,-57.5713127
1525.276618328602,-60.2972679,-69.9830553
1525.2778588854906,-56.5457257,-65.364127
1525.2790994443967,-53.5531724,-69.1443735
1525.280340005321,-54.8490395,-70.208335
1525.2815805682633,-49.1481785,-68.0113233
1525.2828211332237,-49.799153,-60.206908
1525.2840617002018,-54.2349953,-66.3674316
1525.2853022691982,-52.1390569,-64.5954744
1525.2865428402122,-52.499751,-69.9148257
1525.2877834132446,-53.5695596,-72.7552843
1525.2890239882947,-50.4416313,-59.8419478
1525.2902645653633,-53.6559203,-66.0098389
1525.2915051444493,-52.4876402,-62.7987845
1525.292745725554,-54.2797511,-68.284137
1525.2939863086763,-55.4792391,-62.9762465
1525.2952268938166,-47.024037,-56.4561902
1525.296467480975,-50.604022,-62.0719778
1525.2977080701514,-57.4950307,-66.8095577
1525.2989486613462,-51.8356997,-64.1183933
1525.3001892545587,-53.0390866,-63.7789931
1525.3014298497894,-53.8488019,-88.0425636
1525.302670447038,-57.1975748,-59.7998992
1525.3039110463048,-52.1219327,-57.2863687
1525.3051516475896,-55.2745494,-59.6387364
1525.3063922508927,-54.9452784,-64.7238551
1525.3076328562136,-57.9706322,-64.9874907
1525.3088734635528,-51.8689855,-57.075953
1525.31011407291,-54.3765686,-61.9865784
1525.3113546842853,-56.0855121,-68.995676
1525.3125952976786,-52.2910077,-74.2865175
1525.3138359130903,-49.1993499,-66.6028903
1525.31507653052,-49.0913462,-57.2350354
1525.3163171499677,-49.9340857,-60.070059
1525.3175577714335,-58.9601014,-66.074004
1525.3187983949176,-50.9527068,-62.9587917
1525.3200390204197,-53.2420992,-68.0080198
1525.3212796479402,-52.1498901,-60.5045211
1525.3225202774784,-54.0811723,-64.5127327
1525.3237609090352,-52.7164766,-75.692951
1525.3250015426097,-53.3276375,-62.3384337
1525.3262421782026,-52.3302358,-56.7734401
1525.3274828158137,-53.9103639,-73.4384821
1525.328723455443,-51.9713403,-75.7989546
1525.3299640970904,-53.4614078,-63.0247693
1525.331204740756,-55.2473318,-73.3314305
1525.3324453864398,-51.1118111,-54.9109043
1525.3336860341417,-53.6660126,-57.0703832
1525.3349266838618,-57.2664271,-60.1421642
1525.3361673356003,-54.1690807,-71.7066967
1525.3374079893567,-51.8787088,-70.6280777
1525.3386486451316,-52.7938808,-68.5021619
1525.3398893029243,-59.5056881,-63.0122025
1525.3411299627357,-53.4185542,-75.7810903
1525.3423706245649,-52.7900759,-64.4059824
1525.3436112884128,-50.4256777,-61.5481016
1525.3448519542785,-60.274667,-68.4756036
1525.3460926221628,-58.2831756,-67.0073487
1525.3473332920648,-49.2521974,-58.5770641
1525.3485739639857,-53.2000464,-56.2884458
1525.3498146379245,-56.5394369,-63.9460242
1525.3510553138817,-53.2822634,-78.4770541
1525.3522959918569,-56.200051,-63.3000181
1525.3535366718506,-58.1601473,-77.1542635
1525.3547773538623,-53.3848067,-82.409557
1525.3560180378927,-56.5342248,-76.8467897
1525.3572587239412,-57.38664,-74.7177696
1525.3584994120079,-52.5809504,-74.6277151
1525.359740102093,-49.5727233,-61.6723172
1525.3609807941964,-52.2042489,-62.267642
1525.3622214883178,-52.2218763,-55.8023731
1525.363462184458,-52.4519939,-58.4736976
1525.364702882616,-52.2429821,-59.4758514
1525.3659435827929,-56.1577964,-68.8220649
1525.3671842849878,-54.9795618,-69.494865
1525.368424989201,-60.3574332,-80.6621401
1525.3696656954326,-49.7726598,-61.7535154
1525.3709064036825,-53.2118743,-59.0915564
1525.3721471139509,-54.5692022,-59.9142794
1525.3733878262371,-55.6762384,-62.6498032
1525.3746285405423,-57.275659,-66.0643734
1525.3758692568654,-59.5897166,-65.8930258
1525.3771099752073,-59.1712668,-66.8676058
1525.3783506955672,-61.5019148,-71.9960519
1525.3795914179457,-58.028409,-80.6381767
1525.3808321423423,-53.0400362,-66.2323039
1525.3820728687576,-48.1104392,-52.4662555
1525.3833135971909,-51.5188677,-56.6940009
1525.384554327643,-52.5141767,-65.6716339
1525.3857950601132,-51.7644911,-59.9972075
1525.387035794602,-54.9453937,-61.039862
1525.388276531109,-52.7728399,-64.6249515
1525.3895172696348,-56.7025694,-65.3888962
1525.3907580101786,-52.2015655,-84.3496034
1525.391998752741,-59.5842489,-81.7793462
1525.3932394973217,-57.6608806,-70.7472387
1525.394480243921,-57.8029241,-62.319776
1525.3957209925386,-56.8337385,-59.0817097
1525.3969617431749,-54.9056529,-64.1237096
1525.3982024958293,-60.3466831,-73.4448064
1525.3994432505024,-61.9405234,-81.1464894
1525.4006840071936,-58.4413613,-61.5580047
1525.4019247659037,-54.1572183,-69.8608621
1525.403165526632,-53.7556769,-72.51623
1525.4044062893788,-54.8524521,-66.088799
1525.405647054144,-54.9831594,-62.8391068
1525.406887820928,-55.5049546,-67.5314204
1525.4081285897303,-56.3164441,-62.6295512
1525.409369360551,-52.3562552,-55.96974
1525.4106101333903,-47.7739098,-58.0770078
1525.411850908248,-60.4453931,-62.323821
1525.4130916851243,-52.3406643,-65.337394
1525.414332464019,-48.8004302,-66.19723
1525.4155732449324,-54.8117627,-58.8703824
1525.4168140278641,-52.143259,-68.0423901
1525.4180548128145,-59.0584766,-71.9940373
1525.4192955997835,-67.7600695,-72.6346616
1525.4205363887706,-56.9998754,-66.6688407
1525.4217771797767,-53.4536967,-66.1001723
1525.423017972801,-56.5080859,-61.5397633
1525.424258767844,-54.6028826,-65.7846563
1525.4254995649055,-47.3621744,-69.7752708
1525.4267403639858,-59.5663745,-72.3602517
1525.4279811650845,-52.6133162,-82.8818742
1525.4292219682018,-54.6478797,-56.866133
1525.4304627733375,-63.2252791,-82.04285
1525.431703580492,-57.4052616,-71.7140198
1525.432944389665,-49.4055494,-73.8039848
1525.4341852008567,-59.3276728,-73.1178813
1525.4354260140667,-48.0283634,-54.2308344
1525.4366668292955,-52.0077365,-63.0454641
1525.4379076465427,-58.1417045,-69.3412882
1525.439148465809,-51.6380848,-63.1291443
1525.4403892870937,-55.3268476,-65.9312678
1525.4416301103968,-55.6004264,-77.3356568
1525.4428709357187,-55.6591017,-74.0339503
1525.444111763059,-57.935639,-73.6691563
1525.4453525924182,-47.1985796,-62.1248154
1525.4465934237958,-48.6646068,-61.0831351
1525.4478342571922,-57.0373055,-91.5929568
1525.4490750926072,-55.6348523,-70.5697637
1525.450315930041,-54.5676067,-71.0621461
1525.4515567694932,-48.5566342,-54.9854332
1525.4527976109644,-54.4284318,-59.1315925
1525.454038454454,-53.467272,-60.3979499
1525.4552792999623,-53.556582,-71.0146444
1525.456520147489,-56.0749332,-71.2580689
1525.457760997035,-56.8551189,-73.0567582
1525.4590018485992,-52.2522086,-62.1132937
1525.4602427021823,-52.7094251,-81.5604599
1525.461483557784,-53.5615565,-66.1943882
1525.4627244154046,-50.9679022,-70.3620031
1525.4639652750436,-61.6768465,-70.2234616
1525.4652061367017,-51.5516378,-63.21955
1525.4664470003781,-51.8302831,-68.9924266
1525.4676878660734,-56.598634,-74.1376914
1525.4689287337874,-51.4583808,-60.0384719
1525.4701696035202,-54.9436161,-58.7925325
1525.4714104752716,-63.0181932,-69.4796657
1525.472651349042,-50.4149384,-76.1406749
1525.473892224831,-49.6084888,-69.7545373
1525.4751331026387,-58.2253533,-69.6990975
1525.476373982465,-50.2048279,-58.3550396
1525.4776148643105,-49.6937582,-65.8516631
1525.4788557481743,-57.1450724,-61.2628312
1525.4800966340572,-54.1565121,-64.9217659
1525.4813375219587,-55.3869487,-72.3967291
1525.482578411879,-50.525278,-62.2856009
1525.483819303818,-53.9934874,-60.8677509
1525.4850601977762,-50.9070282,-65.6910769
1525.4863010937527,-55.0063585,-65.890766
1525.4875419917482,-53.5962654,-58.344641
1525.4887828917624,-52.8378635,-64.8247862
1525.4900237937957,-50.983614,-64.6864277
1525.4912646978476,-61.1121959,-70.170399
1525.4925056039183,-55.3512163,-63.3679979
1525.4937465120079,-50.9642115,-67.4226158
1525.4949874221163,-51.4607546,-71.8143138
1525.4962283342436,-55.1916056,-67.596288
1525.4974692483897,-57.7636212,-74.1046836
1525.4987101645545,-50.4176915,-57.1617185
1525.4999510827383,-61.478664,-96.7137594
1525.5011920029408,-48.0811362,-51.684986
1525.5024329251623,-50.8447134,-59.7432638
1525.5036738494027,-49.0436116,-65.2577846
1525.504914775662,-53.6021356,-62.3002064
1525.50615570394,-52.5012261,-61.6114226
1525.507396634237,-53.7690157,-59.2066572
1525.5086375665528,-50.5572241,-59.5726022
1525.5098785008877,-49.2534186,-72.272261
1525.5111194372412,-52.0314138,-61.7308862
1525.5123603756138,-53.3795713,-62.3524958
1525.5136013160052,-48.4243043,-59.3741733
1525.5148422584155,-48.9764298,-56.2037822
1525.5160832028448,-51.023543,-54.3056215
1525.517324149293,-55.6843822,-59.4687851
1525.51856509776,-50.8543758,-64.732161
1525.519806048246,-48.6313437,-68.1510464
1525.521047000751,-52.9964834,-69.1250528
1525.5222879552748,-57.883502,-75.8199271
1525.5235289118177,-55.2135405,-67.3074468
1525.5247698703795,-55.8906705,-60.9392589
1525.5260108309603,-49.9240462,-64.1378222
1525.5272517935598,-50.5836901,-71.8220355
1525.5284927581786,-58.4118843,-61.0998244
1525.529733724816,-57.0767207,-69.8028876
1525.5309746934727,-54.8566553,-64.9041936
1525.5322156641482,-57.9997525,-74.6034047
1525.5334566368429,-52.0943584,-58.7376582
1525.5346976115563,-54.0399675,-76.46789
1525.535938588289,-54.5777193,-58.9793912
1525.5371795670403,-51.9961645,-55.6098111
1525.538420547811,-52.5499057,-61.7831115
1525.5396615306004,-50.820495,-69.2644768
1525.540902515409,-50.5409624,-56.3912802
1525.5421435022365,-53.4442226,-64.2165062
1525.543384491083,-50.2081767,-58.7252999
1525.5446254819485,-50.0294248,-65.2517616
1525.5458664748332,-48.3001921,-54.8295731
1525.5471074697368,-49.4576299,-77.6788185
1525.5483484666597,-52.7764319,-62.3283877
1525.5495894656012,-55.7656672,-57.0111044
1525.5508304665623,-49.4662225,-58.4553673
1525.552071469542,-49.8067989,-60.4501567
1525.553312474541,-48.8756406,-60.8542394
1525.5545534815587,-51.7243215,-67.530999
1525.555794490596,-50.1381794,-59.9598918
1525.557035501652,-51.1182852,-62.6275062
1525.5582765147274,-51.524088,-62.243474
1525.5595175298215,-51.8246039,-59.7731454
1525.560758546935,-51.2311742,-71.6062306
1525.5619995660675,-52.8776097,-68.224993
1525.563240587219,-52.78845,-61.8687577
1525.5644816103895,-50.817837,-58.9287459
1525.5657226355795,-54.5246428,-69.5967117
1525.5669636627883,-52.2016493,-69.6000998
1525.5682046920165,-52.5419443,-69.1648774
1525.5694457232635,-50.7582862,-54.331792
1525.5706867565298,-53.0572784,-65.1786645
1525.5719277918151,-53.9748589,-60.985933
1525.5731688291198,-54.600218,-98.6311497
1525.5744098684434,-53.4002677,-73.3628009
1525.5756509097864,-53.3133537,-61.4622614
1525.5768919531483,-52.2885633,-60.9720123
1525.5781329985296,-50.9301106,-68.4274574
1525.5793740459296,-48.7096915,-62.1506912
1525.5806150953492,-51.8406851,-65.6894341
1525.581856146788,-57.2957823,-76.9497669
1525.583097200246,-50.7254039,-61.951211
1525.5843382557227,-50.0047483,-59.9377928
1525.5855793132191,-50.8745903,-53.4316477
1525.5868203727346,-51.7640913,-62.8508827
1525.588061434269,-50.6288364,-68.1040662
1525.589302497823,-54.3076117,-64.3128827
1525.5905435633958,-55.0241687,-66.6832207
1525.5917846309883,-49.9661602,-52.9424347
1525.5930257005996,-49.9641659,-66.4033852
1525.5942667722304,-52.0390002,-61.2869624
1525.59550784588,-52.8052371,-60.1521422
1525.5967489215493,-56.5882537,-71.6197564
1525.5979899992376,-52.0113049,-64.2321181
1525.5992310789454,-54.2998032,-60.0685226
1525.600472160672,-54.2503548,-59.5505652
1525.6017132444183,-51.7732676,-60.9176017
1525.6029543301836,-53.1765823,-66.7772557
1525.6041954179684,-54.8136613,-63.9811044
1525.605436507772,-59.1693848,-68.2525886
1525.6066775995955,-54.7432624,-59.2533382
1525.6079186934378,-55.6467499,-57.0999406
1525.6091597892996,-57.082522,-60.0172146
1525.6104008871805,-56.5151369,-65.8676775
1525.611641987081,-53.7107358,-68.1522046
1525.6128830890004,-52.0269354,-63.7309922
1525.6141241929395,-53.4437051,-68.4760607
1525.6153652988976,-56.8212035,-79.347764
1525.6166064068752,-53.9563385,-64.3756579
1525.617847516872,-53.3390499,-59.5306612
1525.6190886288882,-57.7449529,-67.5239479
1525.6203297429236,-56.810249,-74.205228
1525.6215708589784,-53.3349178,-61.0593687
1525.6228119770526,-51.0712345,-61.0876726
1525.624053097146,-58.5110097,-67.321179
1525.6252942192589,-54.9486802,-59.742243
1525.6265353433912,-59.7980145,-62.7553235
1525.6277764695426,-55.1584283,-62.2368565
1525.6290175977138,-49.6312491,-59.7670397
1525.630258727904,-52.0538758,-62.5933936
1525.6314998601138,-51.924729,-61.6718466
1525.6327409943426,-49.9227641,-80.0842621
1525.633982130591,-49.5970176,-62.7562601
1525.6352232688587,-55.230949,-76.9552164
1525.6364644091461,-48.8484317,-59.6795612
1525.6377055514527,-51.9223434,-77.2242207
1525.6389466957787,-50.9337739,-81.6867984
1525.6401878421239,-49.5560486,-79.9322959
1525.6414289904887,-53.6574314,-57.9308469
1525.642670140873,-54.5899779,-64.499226
1525.6439112932767,-51.5354814,-59.7477997
1525.6451524476997,-61.9033646,-69.1251436
1525.6463936041423,-55.2304721,-75.2359182
1525.647634762604,-52.5548321,-67.8710454
1525.6488759230856,-54.1491812,-68.1198384
1525.6501170855863,-52.0032168,-65.703195
1525.6513582501066,-50.349692,-62.8767356
1525.6525994166461,-53.8419695,-60.3926976
1525.6538405852054,-49.830769,-63.2666258
1525.655081755784,-49.8899061,-65.1430485
1525.6563229283822,-55.4447002,-58.8657382
1525.6575641029997,-50.1778418,-58.1590515
1525.658805279637,-47.6198349,-64.5265115
1525.6600464582934,-48.2801159,-55.9247942
1525.6612876389695,-48.3533076,-62.1630332
1525.662528821665,-51.4242562,-73.1400184
1525.66377000638,-52.1500716,-70.2530874
1525.6650111931147,-49.9824239,-59.6465879
1525.6662523818686,-50.6357298,-59.77797
1525.6674935726421,-52.661061,-61.2534293
1525.6687347654351,-52.4186408,-59.0529836
1525.669975960248,-52.5407892,-63.0518824
1525.6712171570798,-50.3378913,-54.1220462
1525.6724583559317,-55.005334,-68.3957425
1525.6736995568028,-52.5900026,-58.1668092
1525.6749407596935,-51.0770714,-59.4931447
1525.6761819646038,-50.1953472,-70.7784884
1525.6774231715337,-53.3105585,-67.3625372
1525.678664380483,-54.1375762,-65.7272284
1525.679905591452,-60.3470919,-73.5546414
1525.6811468044405,-59.1208419,-61.303733
1525.6823880194488,-49.7359123,-64.3820797
1525.6836292364762,-50.6887268,-57.0427106
1525.6848704555237,-51.7945195,-59.4252499
1525.6861116765904,-56.9142911,-63.5851245
1525.6873528996769,-59.8110467,-65.721163
1525.6885941247829,-53.58283,-59.6121173
1525.6898353519086,-50.8757427,-64.1276712
1525.6910765810537,-54.0259308,-66.4827343
1525.6923178122188,-53.8707495,-70.0388719
1525.6935590454032,-48.9364085,-61.2672715
1525.6948002806073,-52.3485961,-70.0211706
1525.696041517831,-55.0554969,-57.9887335
1525.6972827570744,-52.0319901,-61.4933004
1525.6985239983374,-51.4073,-63.4457961
1525.69976524162,-52.7227924,-60.4760747
1525.7010064869223,-53.6343656,-66.5809913
1525.7022477342443,-53.973762,-60.8617834
1525.7034889835859,-50.391365,-56.7931435
1525.7047302349472,-52.3228368,-67.3763833
1525.705971488328,-50.7714426,-74.4716005
1525.7072127437286,-58.0707032,-72.9875283
1525.7084540011488,-58.2805264,-73.228264
1525.709695260589,-52.4410316,-73.2092995
1525.7109365220485,-50.5672821,-67.0824831
1525.712177785528,-51.5157891,-60.3303503
1525.713419051027,-52.8829206,-68.6235375
1525.7146603185456,-56.6131792,-89.9254628
1525.715901588084,-49.8867114,-65.3605955
1525.7171428596423,-51.3215579,-64.0791749
1525.71838413322,-51.8136828,-66.6217337
1525.7196254088176,-51.6431325,-74.8769371
1525.7208666864349,-49.5438104,-59.3110952
1525.7221079660721,-51.0208062,-61.2332666
1525.7233492477287,-50.4863525,-72.9013304
1525.7245905314053,-53.013152,-60.0752411
1525.7258318171014,-47.8223504,-56.024003
1525.7270731048177,-48.6948941,-63.7464423
1525.7283143945533,-53.7807908,-76.3070719
1525.729555686309,-51.2404116,-70.1660548
1525.730796980084,-50.5306059,-76.2220354
1525.7320382758792,-51.8836154,-62.0038226
1525.7332795736943,-49.1804506,-62.2820197
1525.7345208735287,-54.8741319,-77.7333938
1525.7357621753831,-52.7898351,-65.8177194
1525.7370034792573,-56.2386484,-59.6386529
1525.7382447851514,-53.6165575,-70.5915204
1525.7394860930651,-49.0034247,-61.1340056
1525.7407274029988,-52.3255081,-61.7465789
1525.741968714952,-51.23979,-63.9141817
1525.7432100289254,-53.1622044,-62.45615
1525.7444513449184,-59.8137067,-63.6341215
1525.7456926629313,-48.170688,-50.8998829
1525.7469339829638,-49.1041932,-58.7839114
1525.7481753050165,-56.3934897,-65.3261035
1525.7494166290887,-48.6453247,-53.8715438
1525.7506579551812,-55.1733632,-70.6269727
1525.751899283293,-49.6695574,-64.1608587
1525.753140613425,-48.8488059,-55.8602001
1525.7543819455766,-51.5146177,-65.2272486
1525.7556232797485,-55.8027645,-60.2403527
1525.7568646159398,-52.8029375,-77.2549358
1525.7581059541512,-51.5452735,-60.4795868
1525.7593472943825,-49.3154173,-63.4937328
1525.7605886366337,-52.9106196,-67.0303194
1525.7618299809046,-52.9482024,-74.5388934
1525.7630713271956,-52.456149,-64.1309801
1525.7643126755063,-55.651,-70.2149056
1525.7655540258372,-51.4894456,-67.5665692
